1.1992998293,1.2131276025,1.2049867952,1.2002512864,1.1943323911,1.1942766849,1.1908268873,1.1922092435,1.1890990788,1.1892053693
1.4769854973,1.5050239629,1.4942907519,1.4847678781,1.4862460623,1.4913025297,1.4938670951,1.4960282305,1.4940106068,1.4933425387
1.3941718217,1.3922261563,1.3902023158,1.3963644126,1.3932078570,1.3912172467,1.3962376676,1.3933620831,1.3918870982,1.3935261264
1.2281364277,1.2424946624,1.2273288187,1.2214139310,1.2132984860,1.2102508048,1.2136733631,1.2068084201,1.2043151013,1.2047935197
1.0683400489,1.0520988610,1.0512705088,1.0498869173,1.0480544016,1.0460203159,1.0426685386,1.0423084625,1.0419639751,1.0409860573
1.1853876465,1.2378206949,1.2863216342,1.2729896231,1.2768216033,1.2693923674,1.2868667250,1.2880320788,1.2910244929,1.2949431227
inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
1.2140969852,1.1933836506,1.1850159900,1.1882047353,1.1955224557,1.1979554505,1.1923937213,1.1912713897,1.1898724697,1.1892054898
1.3063275294,1.3087183307,1.3159509433,1.3141463809,1.3172750158,1.3185624032,1.3204889613,1.3219954245,1.3210257556,1.3197112646
1.1442684323,1.1412576971,1.1427058772,1.1366050827,1.1323040328,1.1308156303,1.1280840861,1.1282679395,1.1285083861,1.1275498347
1.6022459035,1.6018168944,1.6052928487,1.6084599687,1.6045131909,1.6014046250,1.6021214941,1.6095167560,1.6097299617,1.6088144687
1957814838011.2917480469,1963819637514.4230957031,2127012574011.7480468750,2135707023292.3664550781,2191313968691.4265136719,2172386340257.5122070312,2209078167221.6162109375,2240649234609.4252929688,2281873851198.4873046875,2281588623222.1064453125
1.2244527949,1.2267473069,1.2278885887,1.2289443108,1.2340645951,1.2342393601,1.2343236761,1.2333520189,1.2334180389,1.2332443723
inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
1.0981732019,1.0950667078,1.0926659001,1.0937452745,1.0902568179,1.0925619686,1.0914583683,1.0907195183,1.0922371209,1.0921346161
1.2035596015,1.2041999620,1.2078493200,1.2119570909,1.2083015115,1.2065826988,1.2041143376,1.1982379113,1.2003889576,1.2014110115
1.2498841673,1.2286504178,1.2267365236,1.2241581306,1.2229087291,1.2241402394,1.2239694912,1.2226984887,1.2235891556,1.2237934554
1.2885110159,1.2729400321,1.2716788620,1.2840851464,1.2939780218,1.2931514012,1.3036709663,1.3073811781,1.3056166866,1.3045306355
1.4308168342,1.4285857544,1.4696465554,1.4780156950,1.4764933276,1.4738710603,1.4709371404,1.4696053875,1.4684054576,1.4679902717
1.6574939104,1.6116255559,1.5890827135,1.5935380096,1.5995967801,1.6038738387,1.6099567604,1.6106093212,1.6116859065,1.6116520903
1.4932822446,1.4603844614,1.4342934283,1.4450177025,1.4460143779,1.4494856115,1.4579781334,1.4586749320,1.4599965715,1.4588656374
inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
1.4276135525,1.3864266023,1.3814298028,1.3758248235,1.3748412234,1.3728041220,1.3727522617,1.3737811332,1.3731519340,1.3724245646
1.1633602264,1.1730264747,1.1659199669,1.1648720498,1.1631270489,1.1639807474,1.1653137491,1.1662736791,1.1662222808,1.1659108892
1.2332236056,1.2326533866,1.2493684146,1.2545415270,1.2531306949,1.2601485726,1.2623641673,1.2569822182,1.2556322559,1.2549484832
inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
1.2949416568,1.2734283395,1.2924908230,1.3280406058,1.3151890821,1.3077424111,1.2937669012,1.2833269403,1.2835866276,1.2857759355
1.8123734091,1.7935587630,1.7815591713,1.7944241713,1.7817816519,1.7815978331,1.7847058204,1.7824790942,1.7816945554,1.7824382179
2.9493986085,2.8949356770,2.9119323208,2.9465101535,2.9240311269,2.9395987133,2.9612601665,2.9545328252,2.9432701761,2.9495348787
1.1638124171,1.2393167310,1.3317398810,1.3438613874,1.3068637750,1.2979482861,1.3178444865,1.3202743096,1.3307872899,1.3327797448
